number,category,text,emotion,pose,image_prompt,status,filename,notes
1,あいさつ,おはよ！,満面の笑み,右手＝頭より高く大きく振る / 左手＝腰に当てる / 体＝正面 / 足＝描かない,笑顔で片手を大きく振る 上半身のみ,todo,stamp_001.png,
2,あいさつ,おつかれ！,にっこり,右手＝胸の前で軽く拍手 / 左手＝胸の前で軽く拍手 / 体＝正面 / 足＝描かない,両手で小さく拍手する,todo,stamp_002.png,
3,あいさつ,こんばんは〜,にっこり,右手＝胸の高さで軽く開く / 左手＝自然に下ろす / 体＝正面からやや斜め / 足＝描かない,軽く会釈しながら片手を上げる,todo,stamp_003.png,
4,あいさつ,ひさしぶり！,驚き＋笑顔,右手＝斜め上に開く / 左手＝斜め上に開く / 体＝正面 / 足＝描かない,両手を広げて再会を喜ぶ,todo,stamp_004.png,
5,返事,了解っしょ！,得意げ,右手＝親指を立てて胸の高さで前に出す / 左手＝腰に当てる / 体＝正面 / 足＝描かない,ウインクしてサムズアップ,todo,stamp_005.png,
6,返事,まかせて！,満面の笑み,右手＝握りこぶしで胸を叩く / 左手＝腰に当てる / 体＝正面からやや前傾 / 足＝描かない,胸を叩いて引き受ける,todo,stamp_006.png,
7,返事,OK！,にっこり,右手＝指で丸を作り顔の横に出す / 左手＝自然に下ろす / 体＝正面 / 足＝描かない,指で丸を作る,todo,stamp_007.png,
8,返事,ちょっと待って,困り顔,右手＝手のひらを前に出す / 左手＝胸の前で軽く握る / 体＝正面 / 足＝描かない,手のひらを前に出して制止,todo,stamp_008.png,
9,返事,むりかも…,困り顔,右手＝小さく上げて手のひらを見せる / 左手＝小さく上げて手のひらを見せる / 体＝正面 / 足＝描かない,両手を小さく上げて困る,todo,stamp_009.png,
10,感謝,ありがと〜！,満面の笑み,右手＝顔の前で合わせる / 左手＝顔の前で合わせる / 体＝正面 / 足＝描かない,両手を合わせて感謝,todo,stamp_010.png,
11,感謝,助かった！,にっこり,右手＝額の汗をぬぐう / 左手＝腰に当てる / 体＝正面からやや斜め / 足＝描かない,額の汗をぬぐって安心,todo,stamp_011.png,
